are you crazy take the boat,0
thats one way of putting it kitz the president the isc have shut down all official communications thereve also been reports of riots flaring up across the us and europe until we figure out what went wrong things may get rough especially for you,0
peter what is going on has everyone gone completely insane,0
how long was i gone,0
what day,0
peter what are you talking about what malfunction what day is this,0
its all right the important thing is youre safe,0
wait hold on a minute,0
thank god when we lost contact i thought we thought but youre okay were still trying to determine the nature of the malfunction did you notice anything at all that,0
im im fine,0
ellie are you okay,0
like it almost there,0
like it or not,0
that you valerian,0
its really happening,0
someone tell me this is really happening,0
you too,0
its good to see you ellie,0
peter,0
ellie,0
that is true but its also true that if i really thought we wanted the same things id follow you anywhere but the truth is i dont think you want the company be honest el theres nowhere youd rather be than sitting out at some remote corner of the world searching for the answers to the mysteries of the universe and call me crazy but i just cant compete with that im sorry,0
you sonofabitch,0
ellie im getting married her names laura she came up to owens valley to do her postdoc about six months after you left,0
im serious about this peter,0
ellie,0
right now well drive down to ramey and get the base chaplain to marry us,0
jesus,0
and you think i dont want those things you think i dont stay up half the night wondering if ive made the right choice living half a world away from you wondering if any of this is worth what im giving up for it everyday lets get married,0
maybe thats the problem i want a family ellie i want kids a townhouse on l street instead of still living like a college kid a real life maybe that makes me a sellout but i dont care anymore its what i want,0
please youre just as ambitious as i am more,0
the work jesus ellie cant there just once be more to life than the work okay maybe thats the only way to get the recognition win the prizes,0
but the work,0
this is a chance to be of enormous help to other peoples research to have the power to be a real advocate where davids got blind spots,0
but what about your research,0
im going on staff at the nsf to work for drumlin,0
greenbank,0
im moving to washington,0
we could be together again,0
actually,0
peter if you can get him to do that for me hed obviously do the same for you we could,0
thirtyone linked dishes you could search more sky there in a day than you could in a year here,0
the vla,0
what if i said i could get drumlin to agree to sell you time in new mexico,0
its almost there the hardest part is getting someone to sell us the telescope time,0
how close are you to getting this funding put together,0
if we lived at any previous time in human history we wouldnt even have the option of failing wed have to wonder our whole lives unable to do anything about it this time right now is unique in our history in any civilizations history the moment of the acquisition of technology the moment when contact becomes possible weve already beaten incredible odds by being lucky enough to be alive now,0
ellie even if you do manage to raise the money have you thought about what it would really mean to follow through on this i mean a college fetish is one thing but were talking about your career you wont be publishing you wont be taken seriously and you could spend your entire life looking and never find anything at all,0
weve been going after some of the big multinationals but without much luck got a donation from a new york dowager weve even been thinking about selling tshirts,0
ive examined over forty stars of roughly solar spectral type but so far nothing still weve barely started,0
and,0
please any chance of that died the day david drumlin was appointed head of the nsf i have been in contact with a few other seti people weve been trying to find backing from private investors ive even managed to scrounge a couple of hours of telescope time here and there,0
any luck on the grant money,0
i keep telling myself okay thats just the price you have to do your time doing shitwork before youre allowed to get to the good stuff but if i have to catalog one more quasar god ive missed you,0
is indistinguishable from magic,0
any sufficiently advanced technology,0
its like the precopernicans who swore the sun revolved around the earth or the victorians at the end of the last century who concluded that all major discoveries had now been made i mean try to imagine civilization a thousand years ahead of us then imagine trying to explain i dunno a microwave oven to someone even a hundred years ago i mean the basic concepts didnt exist,0
they cant i think its against human nature to admit to that level of insignificance to not see yourself as basically the center of the universe,0
im just so sick of feeling defensive about the things i care about or being lumped in with the lunatic fringe by people like drumlin when if theyd just put aside their preconceptions for two seconds and look at the facts,0
what a coincidence it happens to be my fetish too,0
keep it down okay drumlin thinks im enough of a flake as it is look everyone here has their little fetishes caven goes to topless bars vernons got his carnivorous plants mine just happens to be extraterrestrial intelligence,0
i read your paper on etis its brilliant,0
yavol,0
sounds like a russian general,0
peter valerian,0
ellie arroway,0
thats what they all say,0
hes an incredible prick but i never learned so much in my life,0
its beautiful but it does get a little lonely sometimes i think the reason we build these things in such godforsaken places isnt to avoid excess radio traffic but because were all such pathetic antisocial misfits speaking of which howre you getting on with the old man,0
drumlin said youre been down at arecibo for the last year,0
something my dad they said after all the suffering after all the desolation of the void the one thing that makes the vastness tolerable is each other the one thing that makes it bearable is love,0
meaning,0
im not sure maybe it simply exists in the search for it maybe its something we have to make for ourselves,0
does that mean you think it doesnt exist,0
i dont know if it was a god it was searching for a greater one it was still searching for meaning,0
in other words,0
in other words god works in mysterious ways,0
maybe what you experienced cant be reduced to images on a videotape maybe they still plan to grant your request only in their own way in their own time or maybe its just like you said ultimately their motives may be as incomprehensible as their technology,0
but it is a good question and i suppose ill always wonder about the answer why would they send me back without proof,0
ellie if you go out there like this if you admit to even the possibility that what you experienced didnt actually happen im afraid they really will crucify you please for your own sake for the sake of the world tell them what you know to be the truth tell them it really happened,0
i want to palmer more than anything but it has to be real it has to be true,0
have you seen whats happening out there the terror the despair the world is on fire ellie people need something they can believe in something worthy and you can give it to them,0
but,0
ellie the only one holding you to that standard is you the people want to hear your story they need to hear it,0
its not enough dont you understand i know it happened but by every standard of science by every standard ive lived my life by that fact is utterly beside the point it may be true but it doesnt matter because i cant prove its real,0
ellie youre the proof you tell them your story ultimately theyll have no choice but to believe you,0
i dont have any proof palmer,0
it also makes god enormous i think of the scope of your universe ellie and it takes my breath away as it will everyone elses,0
youre sure you want to in the universe i saw were not exactly the stars of the show what happened to me makes us all seem pretty damn small,0
i do,0
they dont believe me,0
im not sure its come to that,0
so im assuming they sent you here to administer last rites,0
pretty ironic huh i had to go all the way to the center of the galaxy just to find you,0
it was quite a page turner,0
im assuming you read my deposition,0
hi,0
hi,0
and yet thats always how i seem to end up isnt it if you really do love me palmer youll leave now please,0
ellie there is no reason you have to be alone,0
i cant hear this now,0
do you really think your life is meaningless eleanor is that why youre so quick to risk it because if your life means nothing then you have nothing to lose,0
i dont know,0
and then what then youll be safe,0
dont you understand i just have to hold it together just until tomorrow,0
im in love with you ellie,0
please,0
what are my other options in fifty years never,0
please palmer if you care for me at all dont push this now,0
what are you so afraid of,0
i cant do this,0
what,0
im sorry i cant,0
ellie what is it,0
what is it,0
im sorry,0
what,0
maybe thats okay,0
i do seem to be maybe because im just a little bit terrified about tomorrow,0
youre trembling,0
thank you,0
during the crusades pilgrims who made the journey to the holy land brought back a palm frond to show theyd actually been there i thought it sort of made sense that earth is now your holy land so,0
oh i brought you something,0
the final countdown,0
so the final countdown,0
i remember you were indelicate indiscreet and entirely less than tactful sound like anyone you know,0
ellie the last time we spoke i said some things,0
what if their answer is oh thats easy a thousand years ago our world was in terrible shape our population out of control violent crime no food so we called a general council and decided to eliminate the anitsocial the weak the sick the unwanted and ever since weve been doing great,0
how do you mean,0
an excellent question doctor but what if we dont like the answer,0
